,,,,,,,,,,,,,,,,
,,,2024年,,,,,,,,,,,,年度總計,
,,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,,
"持股庫存
(依記帳日之現況更新)",元大台灣50-0050,股票,,,"  15,245 ","  18,331 ","  14,349 ","  10,468 ","  12,483 ","  13,664 ","  13,721 ","  11,827 ","  11,930 ","  12,031 ","報酬金額
(12月底結算)","報酬率
(12月底結算)"
,元大高股息-0056,股票,,,"  3,888 ","  6,166 ","  6,397 ","  7,897 ","  8,944 ","  9,430 ","  12,964 ","  19,481 ","  20,539 ","  24,077 ",,
,元大台灣高低息波-00713,股票,,,"  1,024 ","  1,241 ","  1,398 ","  1,448 ","  3,827 ","  4,174 ","  6,517 ","  7,037 ","  9,395 ","  9,753 ",,
,富邦越南-00885,股票,,,"  29,362 ","  32,346 ","  34,419 ","  35,682 ","  36,954 ","  38,210 ","  39,444 ","  40,714 ","  40,714 ","  41,984 ",,
,國泰永續高股息-00878,股票,,,"  7,355 ","  10,247 ","  11,338 ","  12,401 ","  24,264 ","  26,134 ","  27,645 ","  30,507 ","  36,382 ","  38,183 ",,
,群益半導體-00927,股票,,,  104 ,"  1,104 ","  1,104 ",  -   , - , - ,,,,,,
,兆豐金-2886,股票,,,  247 ,  747 ,"  3,381 ","  6,873 ","  6,919 ","  9,919 ","  10,903 ","  11,917 ","  11,917 ","  12,414 ",,
,波克夏-B,股票,,,  24 ,  26 ,  27 ,  28 ,  30 ,  32 ,  34 ,  35 ,  37 ,  39 ,,
,ABCD,股票,,,,,,,,,,,,,,
,ABCD,股票,,,,,,,,,,,,,,
,ABCD,股票,,,,,,,,,,,,,,
,持股現值總計,,  -   ,  -   ,"  3,126,921 ","  3,881,458 ","  3,588,582 ","  3,453,360 ","  3,779,663 ","  4,541,793 ","  5,415,469 ","  5,015,229 ","  5,313,711 ","  5,581,623 ","  1,574,160 ",
"未實現損益
(依記帳日之現況更新)",國泰券商,總現值,,,"3,116,634 ","3,881,458 ","3,577,512 ","3,441,778 ","3,766,645 ","4,526,715 ","4,927,004 ","4,999,275 ","5,295,804 ","5,564,136 ","  5,564,136 ",6.79%
,,總付出成本(含息),,,"2,762,953 ","3,472,932 ","3,116,930 ","2,830,956 ","3,663,621 ","4,062,802 ","4,421,702 ","4,642,350 ","4,967,575 ","5,212,172 ","  5,212,172 ",
